Experiment 'experimento', execution 1 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:19
Experiment 'experimento', execution 2 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:19
Experiment 'experimento', execution 3 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:19
Experiment 'experimento', execution 4 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:19
Experiment 'experimento', execution 5 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:20
Experiment 'experimento', execution 6 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:20
Experiment 'experimento', execution 7 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:20
Experiment 'experimento', execution 8 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:20
Experiment 'experimento', execution 9 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:21
Experiment 'experimento', execution 10 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 4 start at 17/04/2017-22:29:21
