Experiment 'experimento', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:55
Experiment 'experimento', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:55
Experiment 'experimento', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:56
Experiment 'experimento', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:56
Experiment 'experimento', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:57
Experiment 'experimento', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:57
Experiment 'experimento', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:58
Experiment 'experimento', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:59
Experiment 'experimento', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:28:59
Experiment 'experimento', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 4 start at 17/04/2017-22:29:00
