Experiment 'experimento', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:34
Experiment 'experimento', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:35
Experiment 'experimento', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:35
Experiment 'experimento', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:35
Experiment 'experimento', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:36
Experiment 'experimento', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:36
Experiment 'experimento', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:37
Experiment 'experimento', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:37
Experiment 'experimento', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:38
Experiment 'experimento', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 1 start at 17/04/2017-22:26:38
