Experiment 'experimento', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:27:55
Experiment 'experimento', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:27:56
Experiment 'experimento', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:27:57
Experiment 'experimento', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:27:58
Experiment 'experimento', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:27:58
Experiment 'experimento', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:27:59
Experiment 'experimento', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:28:00
Experiment 'experimento', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:28:01
Experiment 'experimento', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:28:02
Experiment 'experimento', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 17/04/2017-22:28:03
