exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,N,ORIG,OMP
experimento,2,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,9253668,6495564
experimento,3,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6810244,8524604
experimento,4,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,5635223,9043846
experimento,5,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,5513649,7663701
experimento,6,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,7991733,5919048
experimento,7,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,6483562,9063926
experimento,8,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,8838557,7870653
experimento,9,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,5622053,7249423
experimento,10,vectoradd,1048576,DYNAMIC,64,1,OMP,1,1048576,8073528,5886034
experimento,1,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,8031248,6375733
experimento,2,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,8957012,7202371
experimento,3,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,7892171,6507189
experimento,4,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,8278380,6321827
experimento,5,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,5952901,7174704
experimento,6,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,5494774,7940023
experimento,7,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,8909378,5400613
experimento,8,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,6560500,6751110
experimento,9,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,7294404,8109050
experimento,10,vectoradd,1048576,DYNAMIC,128,1,OMP,1,1048576,5473758,8778297
experimento,1,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,8744325,5667151
experimento,2,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,8291060,7921291
experimento,3,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,9055034,6747410
experimento,4,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,8102002,7491559
experimento,5,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,5422176,8445714
experimento,6,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,8805596,6063584
experimento,7,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,9081873,5530185
experimento,8,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,8842786,7571234
experimento,9,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,8510394,7264268
experimento,10,vectoradd,1048576,DYNAMIC,256,1,OMP,1,1048576,5863640,9140318
experimento,1,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,7293181,6464167
experimento,2,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,7807371,6318710
experimento,3,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6059591,8467661
experimento,4,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,8362888,5861108
