exp = experimento, execution = 1, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 39976746, OMP = 30062114
exp = experimento, execution = 2, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 40619439, OMP = 29353835
exp = experimento, execution = 3, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 39893117, OMP = 31766421
exp = experimento, execution = 4, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 41149223, OMP = 30641634
exp = experimento, execution = 5, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 41078552, OMP = 32001321
exp = experimento, execution = 6, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 41276396, OMP = 30201905
exp = experimento, execution = 7, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 40949968, OMP = 30637618
exp = experimento, execution = 8, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 39926482, OMP = 29254989
exp = experimento, execution = 9, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 40559817, OMP = 29687948
exp = experimento, execution = 10, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 39937987, OMP = 29264076
