Experiment 'experimento', execution 1 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:09
Experiment 'experimento', execution 2 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:09
Experiment 'experimento', execution 3 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:10
Experiment 'experimento', execution 4 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:10
Experiment 'experimento', execution 5 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:10
Experiment 'experimento', execution 6 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:10
Experiment 'experimento', execution 7 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:11
Experiment 'experimento', execution 8 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:11
Experiment 'experimento', execution 9 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:11
Experiment 'experimento', execution 10 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 16, threads: 8 start at 17/04/2017-22:30:11
