Experiment 'experimento', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:50
Experiment 'experimento', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:51
Experiment 'experimento', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:51
Experiment 'experimento', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:52
Experiment 'experimento', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:52
Experiment 'experimento', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:53
Experiment 'experimento', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:53
Experiment 'experimento', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:54
Experiment 'experimento', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:55
Experiment 'experimento', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 8 start at 17/04/2017-22:29:55
